NB,Member State,Start,End,Duration,Reasons/Scope
363,Slovakia,24/05/2023,08/06/2023,16,International security conference of Globsec 2023 Bratislava Forum taking place at the same time as the international event of the motorcyclist club Hells Angels MC Slovakia - World Run; all internal borders
362,Norway,12/05/2023,11/11/2023,184,"Threat to critical on-shore and off-shore infrastructures, Russian intelligence threat in Norway; ports with ferry connections to the Schengen area"
361,Denmark,12/05/2023,11/11/2023,184,"Islamist terrorist threat, organised crime, smuggling, Russian invasion of Ukraine, irregular migration along the Central Mediterranean route; land border with Germany and ports with ferry connections to Germany"
360,Germany,12/05/2023,11/11/2023,184,"Increase in irregular migration from Türkiye through the Western Balkans, strain on the asylum reception system, human smuggling; the land border with Austria"
359,Sweden,12/05/2023,11/11/2023,184,Islamist terrorist threat; all internal borders (exact borders to be determined)
358,Austria,12/05/2023,11/11/2023,184,"Pressure on the asylum reception system, high migratory pressure at the EU’s external border to Türkiye and the Western Balkans, threat of arms trafficking and criminal networks due to the war in Ukraine, human smuggling; land borders with Hungary and Slovenia"
357,France,01/05/2023,31/10/2023,184,"New terrorist threats, increasing risk of terrorist organisations present on national territory targeting the Rugby World Cup taking place in September and October 2023, increase in irregular entry flows at the external borders (from the Central Mediterranean and the Western Balkans); internal borders with Belgium, Luxembourg, Germany, Switzerland, Italy, Spain"
356,Iceland,26/04/2023,24/05/2023,29,Council of Europe Summit in Reykjavik; all internal borders (specific border sections and border crossing points to be determined by the National Commissioner of the Icelandic Police)
355,Czechia,26/01/2023,04/02/2023,10,"High pressure of irregular migration in transit, activity of organised groups of smugglers, deterioration of the migratory and security situation at the EU’s external borders; the land border with the Slovak Republic"
354,Austria,27/01/2023,05/02/2023,10,"High migratory pressure, strain on basic care system, smuggling activities, secondary movements; the land border with the Slovak Republic"
353,Czechia,27/12/2022,25/01/2023,30,"High pressure of irregular migration in transit, activity of organised groups of smugglers, deterioration of the migratory and security situation at the EU’s external borders; the land border with the Slovak Republic"
352,Austria,27/12/2022,26/01/2023,31,"High migratory pressure, strain on basic care system, smuggling activities, secondary movements; the land border with the Slovak Republic"
351,Austria,12/12/2022,26/12/2022,15,"Secondary movements, illegal migration from the Eastern Mediterranean and Balkan routes, overburdened basic care system due to high number of asylum applications and displaced persons from Ukraine; the land border with the Slovak Republic"
350,Czechia,12/12/2022,26/12/2022,15,"High pressure of irregular migration in transit, activity of organised groups of smugglers, deterioration of the migratory and security situation at the EU’s external borders; the land border with the Slovak Republic"
349,Austria,12/11/2022,12/12/2022,31,"Increase in irregular migration flows, secondary movements and the situation at the EU’s external borders; the land border with the Slovak Republic"
348,Czechia,12/11/2022,12/12/2022,31,"Irregular migration, activities of organised groups of smugglers; the land border with the Slovak Republic"
347,Czechia,28/10/2022,12/11/2022,16,"Irregular migration, activities of organised groups of smugglers; the land border with the Slovak Republic"
346,Austria,29/10/2022,12/11/2022,15,"Increase in irregular migration flows, secondary movements and the situation at the EU’s external borders; the land border with the Slovak Republic"
345,Germany,12/11/2022,11/05/2023,181,"Secondary movements, smuggling, strain on national refugee reception facilities, need to increase security of critical infrastructures; the land border with Austria"
344,Denmark,12/11/2022,11/05/2023,181,"War in Ukraine, smuggling and human trafficking, Russians fleeing conscription, returning terrorist fighters, risk of exploiting by terrorists the migration routes, incidents involving the organised crime; the land borders and ports with ferry connections with Germany and Sweden"
343,Norway,12/11/2022,11/05/2023,181,"War in Ukraine, need to increase the security of the Norwegian on-shore and off-shore gas facilities, situation at the external border; ports with ferry connections to the Schengen area"
342,Austria,12/11/2022,11/05/2023,181,"War in Ukraine, need to increase the security of the Norwegian on-shore and off-shore gas facilities, situation at the external border; ports with ferry connections to the Schengen area"
341,Sweden,12/11/2022,11/05/2023,181,"Irregular migration, risk of secondary movement, situation at the external border; all internal borders"
340,Austria,09/10/2022,28/10/2022,20,"Increase in irregular migration flows, secondary movements and the situation at the EU’s external borders; the land border with the Slovak Republic"
339,France,01/11/2022,30/04/2023,181,"New terrorist threats, organised criminality, activity of organised groups of smugglers, risk of arrival of persons who could pose a threat among the flow of refugees, irregular migration, secondary movement, the situation at the external border (Ukraine war); all internal border as well as sea and air borders"
338,Czechia,08/10/2022,28/10/2022,21,"Irregular migration, activity of organised groups of smugglers; the land border with the Slovak Republic"
337,Austria,29/09/2022,08/10/2022,10,"Secondary movements, activity of organised groups of smugglers; the land border with the Slovak Republic"
336,Czechia,29/09/2022,08/10/2022,10,"Irregular migration, activity of organised groups of smugglers; the land border with the Slovak Republic"
335,Germany,13/06/2022,03/07/2022,21,G7 Summit in Elmau; all internal borders
334,Spain,22/06/2022,03/07/2022,12,"NATO 2022 Summit; land borders with France and Portugal, internal air borders of Madrid, Barcelona, Alicante, Bilbao, Girona, Málaga, Sevilla and Valencia, and internal sea borders of Barcelona, Valencia and Málaga"
333,Estonia,22/05/2022,31/05/2022,10,"Secondary movements, to facilitate the entry and reception of people arriving from Ukraine; border with Latvia"
332,Germany,12/05/2022,11/11/2022,184,"Secondary movements, situation at the external borders; land border with Austria"
331,Estonia,22/04/2022,21/05/2022,30,"Secondary movements, to facilitate the entry and reception of people arriving from Ukraine; border with Latvia"
